Date,Open,High,Low,Close,Volume
09-03-2019,2909.01,2914.39,2891.85,2906.27,17095
09-04-2019,2924.67,2938.84,2921.86,2937.78,16380
09-05-2019,2960.6,2985.86,2960.6,2976,19856
09-06-2019,2980.33,2985.03,2972.51,2978.71,16608
09-09-2019,2988.43,2989.43,2969.39,2978.43,21091
09-10-2019,2971.01,2979.39,2957.01,2979.39,23139
09-11-2019,2981.41,3000.93,2975.31,3000.93,20230
09-12-2019,3009.08,3020.74,3000.92,3009.57,21109
09-13-2019,3012.21,3017.33,3002.9,3007.39,18851
09-16-2019,2996.41,3002.19,2990.67,2997.96,18658
09-17-2019,2995.67,3006.21,2993.73,3005.7,18356
09-18-2019,3001.5,3007.83,2978.57,3006.73,17113
09-19-2019,3010.36,3021.99,3003.16,3006.79,15521
09-20-2019,3008.42,3016.37,2984.68,2992.07,32394
09-23-2019,2983.5,2999.15,2982.23,2991.78,15849
09-24-2019,3002.43,3007.98,2957.73,2966.6,20225
09-25-2019,2968.35,2989.82,2952.86,2984.87,17557
09-26-2019,2985.73,2987.28,2963.71,2977.62,15897
09-27-2019,2985.47,2987.31,2945.53,2961.79,17702
09-30-2019,2967.07,2983.85,2967.07,2976.74,16630
10-01-2019,2983.69,2992.53,2938.7,2940.25,18895
10-02-2019,2924.78,2924.78,2874.93,2887.61,21324
10-03-2019,2885.38,2911.13,2855.94,2910.63,18791
10-04-2019,2918.56,2953.74,2918.56,2952.01,15985
10-07-2019,2944.23,2959.75,2935.68,2938.79,14979
10-08-2019,2920.4,2925.47,2892.66,2893.06,18312
10-09-2019,2911.1,2929.32,2907.41,2919.4,14096
10-10-2019,2918.55,2948.46,2917.12,2938.13,16308
10-11-2019,2963.07,2993.28,2963.07,2970.27,19529
10-14-2019,2965.81,2972.84,2962.94,2966.15,13328
10-15-2019,2973.61,3003.28,2973.61,2995.68,16766
10-16-2019,2989.68,2997.54,2985.2,2989.69,17403
10-17-2019,3000.77,3008.29,2991.79,2997.95,16234
10-18-2019,2996.84,3000,2976.31,2986.2,19863
10-21-2019,2996.48,3007.33,2995.35,3006.72,17494
10-22-2019,3010.73,3014.57,2995.04,2995.99,18433
10-23-2019,2994.01,3004.78,2991.21,3004.52,17609
10-24-2019,3014.78,3016.07,3000.42,3010.29,19359
10-25-2019,3003.32,3027.39,3001.94,3022.55,17734
10-28-2019,3032.12,3044.08,3032.12,3039.42,18712
10-29-2019,3035.39,3047.87,3034.81,3036.89,18120
10-30-2019,3039.74,3050.1,3025.96,3046.77,19682
10-31-2019,3046.9,3046.9,3023.19,3037.56,22075
11-01-2019,3050.72,3066.95,3050.72,3066.91,19507
11-04-2019,3078.96,3085.2,3074.87,3078.27,21144
11-05-2019,3080.8,3083.95,3072.15,3074.62,22499
11-06-2019,3075.1,3078.34,3065.89,3076.78,20223
11-07-2019,3087.02,3097.77,3080.23,3085.18,21601
11-08-2019,3081.25,3093.09,3073.58,3093.08,16920
11-11-2019,3080.33,3088.33,3075.82,3087.01,14078
